mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; TestFiles/pytest/comment_normal_test_file.COB;11;0,001700008;0,41605;245
T; TestFiles/pytest/evaluate_if_mix_test_file.COB;21;0,002649629;0,3851;145
T; TestFiles/pytest/evaluate_simple_test_file.COB;13;0,001800048;0,44205;246
T; TestFiles/pytest/exec_sql_all_forms_test_file.COB;20;0,001350033;0,38025;282
T; TestFiles/pytest/if_both_branch_test_file.COB;10;0,001700294;0,414;243
T; TestFiles/pytest/if_condition_base_test_file.COB;8;0,001949954;0,37945;195
T; TestFiles/pytest/if_condition_case_insensitive_test_file.COB;9;0,001850164;0,38535;208
T; TestFiles/pytest/if_condition_three_lines_test_file.COB;10;0,001599872;0,4126;258
T; TestFiles/pytest/if_condition_two_lines_test_file.COB;9;0,001749873;0,4148;237
T; TestFiles/pytest/if_left_branch_test_file.COB;10;0,001949954;0,42305;217
T; TestFiles/pytest/if_nested_both_branch_test_file.COB;14;0,001899695;0,3867;204
T; TestFiles/pytest/if_nested_left_branch_test_file.COB;12;0,001800215;0,3908;217
T; TestFiles/pytest/if_nested_right_branch_test_file.COB;12;0,001550043;0,39385;254
T; TestFiles/pytest/if_normal_test_file.COB;10;0,001599836;0,41505;259
T; TestFiles/pytest/if_no_end-if_test_file.COB;10;0,001949608;0,38385;197
T; TestFiles/pytest/if_right_branch_test_file.COB;10;0,001950216;0,39475;202
T; TestFiles/pytest/if_squish_end_test_file.COB;21;0,002200365;0,39205;178
T; TestFiles/pytest/if_squish_middle_test_file.COB;20;0,002049625;0,37785;184
T; TestFiles/pytest/if_squish_start_test_file.COB;21;0,002100074;0,3942;188
T; TestFiles/pytest/if_three_to_squish_test_file.COB;14;0,001999485;0,408;204
T; TestFiles/pytest/if_two_to_squish_test_file.COB;14;0,002000237;0,38835;194
T; TestFiles/pytest/next_sentence_test_file.COB;13;0,001900029;0,3953;208
T; TestFiles/pytest/next_sentence_v2_test_file.COB;13;0,001901007;0,40165;211
T; TestFiles/pytest/performThru_base_test_file.COB;21;0,001749909;0,37165;212
T; TestFiles/pytest/performThru_broken_goto_test_file.COB;22;0,002199411;0,3853;175
T; TestFiles/pytest/performThru_chained_test_file.COB;22;0,001900005;0,30815;162
T; TestFiles/pytest/performThru_goto_test_file.COB;22;0,001850355;0,34295;185
T; TestFiles/pytest/perform_base_test_file.COB;21;0,001699591;0,38785;228
T; TestFiles/pytest/perform_broken_goto_test_file.COB;22;0,001749885;0,35985;206
T; TestFiles/pytest/perform_chained_test_file.COB;21;0,001700425;0,34965;206
T; TestFiles/pytest/string_normal_test_file.COB;10;0,001499999;0,3889;259
T; TestFiles/pytest/string_on_two_lines_test_file.COB;11;0,001699638;0,3905;230
;;;;;
Total ;;;0,001851546;0,389371875;210
