mean(T/F); filename; file size;nuitka regex;nuitka re;Full parsing
T; raincodeData/parseTests/ALCB0182.COB;987;0,116729569;0,081037823;0,3324
T; raincodeData/parseTests/ALCB018.COB;2089;0,103004062;0,092148654;0,33425
T; raincodeData/parseTests/ALCB0183.COB;3017;0,141350663;0,135001564;0,3414
T; raincodeData/parseTests/ALCB0184.COB;4061;0,176262891;0,214004612;0,30835
T; raincodeData/parseTests/ALCB0185.COB;5047;0,224933028;0,291833401;0,35945
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,446140957;0,926994483;0,55035
T; raincodeData/parseTests/ALCB01820K.COB;20010;1,053189099;3,460849937;0,7322
T; raincodeData/parseTests/ALCB01830K.COB;30025;1,971899319;7,488638306;0,9655
T; raincodeData/parseTests/ALCB01840K.COB;40019;3,201427281;13,21811851;0,7188
T; raincodeData/parseTests/ALCB01850K.COB;50012;4,627933633;20,17614899;0,8607
